successful_ticker,timestamp
PKE,2025-08-21 20:27:37
CTRE,2025-08-21 20:27:37
PRGO,2025-08-21 20:27:37
CIVI,2025-08-21 20:27:37
HG,2025-08-21 20:27:37
CRM,2025-08-21 20:27:37
EWBC,2025-08-21 20:27:37
RBA,2025-08-21 20:27:37
YETI,2025-08-21 20:27:37
SSD,2025-08-21 20:27:37
PHR,2025-08-21 20:27:37
NUS,2025-08-21 20:27:37
F-PB,2025-08-21 20:27:37
WKC,2025-08-21 20:27:37
SBH,2025-08-21 20:27:37
LTM,2025-08-21 20:27:37
ARX,2025-08-21 20:27:37
F-PD,2025-08-21 20:27:37
OGS,2025-08-21 20:27:37
DY,2025-08-21 20:27:37
CEPF,2025-08-21 20:27:37
SBDS,2025-08-21 20:27:37
DIS,2025-08-21 20:27:37
AG,2025-08-21 20:27:37
FUBO,2025-08-21 20:27:37
PAC,2025-08-21 20:27:37
YUM,2025-08-21 20:27:37
TPR,2025-08-21 20:27:37
PBH,2025-08-21 20:27:37
XOM,2025-08-21 20:27:37
CVX,2025-08-21 20:27:37
PBI,2025-08-21 20:27:37
EHC,2025-08-21 20:27:37
HTB,2025-08-21 20:27:37
T,2025-08-21 20:27:37
GBTG,2025-08-21 20:27:37
WAL,2025-08-21 20:27:37
EQR,2025-08-21 20:27:37
GLW,2025-08-21 20:27:37
FCN,2025-08-21 20:27:37
NTZ,2025-08-21 20:27:37
OVV,2025-08-21 20:27:37
EPAM,2025-08-21 20:27:37
VNCE,2025-08-21 20:27:37
NVRI,2025-08-21 20:27:37
AMPY,2025-08-21 20:27:37
CIG-C,2025-08-21 20:27:37
SPMC,2025-08-21 20:27:37
QUAD,2025-08-21 20:27:37
AMC,2025-08-21 20:27:37
WTM,2025-08-21 20:27:37
MSDL,2025-08-21 20:27:37
USPH,2025-08-21 20:27:37
CNF,2025-08-21 20:27:37
NVR,2025-08-21 20:27:37
VMI,2025-08-21 20:27:37
WT,2025-08-21 20:27:37
M,2025-08-21 20:27:37
NFG,2025-08-21 20:27:37
BRK-A,2025-08-21 20:27:37
SQM,2025-08-21 20:27:37
PNNT,2025-08-21 20:27:37
GES,2025-08-21 20:27:37
AVAL,2025-08-21 20:27:37
MH,2025-08-21 20:27:37
KBR,2025-08-21 20:27:37
GRDN,2025-08-21 20:27:37
AWI,2025-08-21 20:27:37
CRNT,2025-08-21 20:27:37
VZ,2025-08-21 20:27:37
WRB-PH,2025-08-21 20:27:37
AIT,2025-08-21 20:27:37
PDM,2025-08-21 20:27:37
SXI,2025-08-21 20:27:37
AMCR,2025-08-21 20:27:37
IVF,2025-08-21 20:27:37
EVH,2025-08-21 20:27:37
CMTL,2025-08-21 20:27:37
CON,2025-08-21 20:27:37
CAH,2025-08-21 20:27:37
RVTY,2025-08-21 20:27:37
FDX,2025-08-21 20:27:37
VTMX,2025-08-21 20:27:37
AXL,2025-08-21 20:27:37
IBIO,2025-08-21 20:27:37
WM,2025-08-21 20:27:37
AAT,2025-08-21 20:27:37
VIK,2025-08-21 20:27:37
OBK,2025-08-21 20:27:37
FTK,2025-08-21 20:27:37
AN,2025-08-21 20:27:37
AMN,2025-08-21 20:27:37
HLI,2025-08-21 20:27:37
SPNT,2025-08-21 20:27:37
BDC,2025-08-21 20:27:37
BEPH,2025-08-21 20:27:37
HPQ,2025-08-21 20:27:37
MGY,2025-08-21 20:27:37
APO,2025-08-21 20:27:37
PFS,2025-08-21 20:27:37
MTDR,2025-08-21 20:27:37
VLRS,2025-08-21 20:27:37
FUL,2025-08-21 20:27:37
PSTG,2025-08-21 20:27:37
MS-PP,2025-08-21 20:27:37
STNG,2025-08-21 20:27:37
MFC,2025-08-21 20:27:37
RBOT,2025-08-21 20:27:37
PLYM,2025-08-21 20:27:37
AAP,2025-08-21 20:27:37
SLVM,2025-08-21 20:27:37
WMB,2025-08-21 20:27:37
UHAL-B,2025-08-21 20:27:37
DGICA,2025-08-21 20:27:37
LSPD,2025-08-21 20:27:37
KD,2025-08-21 20:27:37
MTH,2025-08-21 20:27:37
MANU,2025-08-21 20:27:37
CRH,2025-08-21 20:27:37
FRGE,2025-08-21 20:27:37
AVTR,2025-08-21 20:27:37
HAFN,2025-08-21 20:27:37
GEF,2025-08-21 20:27:37
PVH,2025-08-21 20:27:37
LXP,2025-08-21 20:27:37
COF-PL,2025-08-21 20:27:37
FET,2025-08-21 20:27:37
IEX,2025-08-21 20:27:37
LOAR,2025-08-21 20:27:37
SHW,2025-08-21 20:27:37
STT,2025-08-21 20:27:37
FLGT,2025-08-21 20:27:37
LAW,2025-08-21 20:27:37
NOW,2025-08-21 20:27:37
EMCG,2025-08-21 20:27:37
BCS,2025-08-21 20:27:37
CMRE,2025-08-21 20:27:37
ONON,2025-08-21 20:27:37
LPSN,2025-08-21 20:27:37
CARS,2025-08-21 20:27:37
NNN,2025-08-21 20:27:37
HGV,2025-08-21 20:27:37
LEVI,2025-08-21 20:27:37
AROC,2025-08-21 20:27:37
CCO,2025-08-21 20:27:37
SR-PA,2025-08-21 20:27:37
TGLS,2025-08-21 20:27:37
FRO,2025-08-21 20:27:37
PATH,2025-08-21 20:27:37
STN,2025-08-21 20:27:37
FLNT,2025-08-21 20:27:37
AGCO,2025-08-21 20:27:37
ARCO,2025-08-21 20:27:37
ASML,2025-08-21 20:27:37
KNX,2025-08-21 20:27:37
UI,2025-08-21 20:27:37
SES,2025-08-21 20:27:37
PK,2025-08-21 20:27:37
HVT,2025-08-21 20:27:37
AFGC,2025-08-21 20:27:37
BAX,2025-08-21 20:27:37
CNP,2025-08-21 20:27:37
BKD,2025-08-21 20:27:37
IMAX,2025-08-21 20:27:37
MWA,2025-08-21 20:27:37
THS,2025-08-21 20:27:37
GS-PA,2025-08-21 20:27:37
XYZ,2025-08-21 20:27:37
QS,2025-08-21 20:27:37
AVNT,2025-08-21 20:27:37
AARD,2025-08-21 20:27:37
SFL,2025-08-21 20:27:37
DDS,2025-08-21 20:27:37
OLO,2025-08-21 20:27:37
GHI,2025-08-21 20:27:37
FCX,2025-08-21 20:27:37
FLNG,2025-08-21 20:27:37
BXP,2025-08-21 20:27:37
MG,2025-08-21 20:27:37
NVT,2025-08-21 20:27:37
GHG,2025-08-21 20:27:37
MQ,2025-08-21 20:27:37
TIXT,2025-08-21 20:27:37
WY,2025-08-21 20:27:37
VIRT,2025-08-21 20:27:37
MEC,2025-08-21 20:27:37
AL,2025-08-21 20:27:37
MMS,2025-08-21 20:27:37
SHCO,2025-08-21 20:27:37
ILMN,2025-08-21 20:27:37
NMAX,2025-08-21 20:27:37
OOMA,2025-08-21 20:27:37
MDU,2025-08-21 20:27:37
MNSB,2025-08-21 20:27:37
FFIC,2025-08-21 20:27:37
ASTI,2025-08-21 20:27:37
AESI,2025-08-21 20:27:37
MHK,2025-08-21 20:27:37
