successful_ticker,timestamp
SPG,2025-08-22 11:38:43
PDM,2025-08-22 11:38:43
NVRI,2025-08-22 11:38:43
UAA,2025-08-22 11:38:43
NGL,2025-08-22 11:38:43
NGVT,2025-08-22 11:38:43
SPGI,2025-08-22 11:38:43
KB,2025-08-22 11:38:43
KT,2025-08-22 11:38:43
LBRT,2025-08-22 11:38:43
UBER,2025-08-22 11:38:43
AX,2025-08-22 11:38:43
VLRS,2025-08-22 11:38:43
CMBT,2025-08-22 11:38:43
FDX,2025-08-22 11:38:43
FE,2025-08-22 11:38:43
BDX,2025-08-22 11:38:43
MS-PQ,2025-08-22 11:38:43
WTM,2025-08-22 11:38:43
WPC,2025-08-22 11:38:43
VNCE,2025-08-22 11:38:43
PEG,2025-08-22 11:38:43
ATO,2025-08-22 11:38:43
MSDL,2025-08-22 11:38:43
NVR,2025-08-22 11:38:43
SEE,2025-08-22 11:38:43
CMI,2025-08-22 11:38:43
PG,2025-08-22 11:38:43
CNF,2025-08-22 11:38:43
MRK,2025-08-22 11:38:43
XOM,2025-08-22 11:38:43
CMG,2025-08-22 11:38:43
MS,2025-08-22 11:38:43
TGT,2025-08-22 11:38:43
TJX,2025-08-22 11:38:43
BGS,2025-08-22 11:38:43
ABT,2025-08-22 11:38:43
GES,2025-08-22 11:38:43
BMO,2025-08-22 11:38:43
NSA,2025-08-22 11:38:43
MSM,2025-08-22 11:38:43
PACS,2025-08-22 11:38:43
BBVA,2025-08-22 11:38:43
AMC,2025-08-22 11:38:43
ADCT,2025-08-22 11:38:43
PGRE,2025-08-22 11:38:43
PFE,2025-08-22 11:38:43
BAC-PN,2025-08-22 11:38:43
AM,2025-08-22 11:38:43
BTI,2025-08-22 11:38:43
VTMX,2025-08-22 11:38:43
DHT,2025-08-22 11:38:43
GS-PA,2025-08-22 11:38:43
STT,2025-08-22 11:38:43
DB,2025-08-22 11:38:43
LTM,2025-08-22 11:38:43
FLR,2025-08-22 11:38:43
CAH,2025-08-22 11:38:43
AB,2025-08-22 11:38:43
BEPH,2025-08-22 11:38:43
AMP,2025-08-22 11:38:43
SLVM,2025-08-22 11:38:43
ALUR,2025-08-22 11:38:43
BBUC,2025-08-22 11:38:43
CSPI,2025-08-22 11:38:43
CL,2025-08-22 11:38:43
EFOI,2025-08-22 11:38:43
DSGR,2025-08-22 11:38:43
SPNT,2025-08-22 11:38:43
EVTL,2025-08-22 11:38:43
RYAN,2025-08-22 11:38:43
GM,2025-08-22 11:38:43
GFF,2025-08-22 11:38:43
CBAN,2025-08-22 11:38:43
HMC,2025-08-22 11:38:43
ATEN,2025-08-22 11:38:43
BKKT,2025-08-22 11:38:43
EIX,2025-08-22 11:38:43
BKV,2025-08-22 11:38:43
PHR,2025-08-22 11:38:43
FMX,2025-08-22 11:38:43
FF,2025-08-22 11:38:43
EVH,2025-08-22 11:38:43
KLG,2025-08-22 11:38:43
SR-PA,2025-08-22 11:38:43
GEF,2025-08-22 11:38:43
ATOS,2025-08-22 11:38:43
NPB,2025-08-22 11:38:43
CNH,2025-08-22 11:38:43
QXO,2025-08-22 11:38:43
SOJE,2025-08-22 11:38:43
BRFS,2025-08-22 11:38:43
HHH,2025-08-22 11:38:43
INGM,2025-08-22 11:38:43
MFH,2025-08-22 11:38:43
AN,2025-08-22 11:38:43
TRNO,2025-08-22 11:38:43
GRND,2025-08-22 11:38:43
