date,indicator,value,source,entity_type,entity_code,entity_name,extra_json
2022-03-31,icn_airline_cargo_tons_baggage,58607.0,ODP_B551177,airline,OZ,아시아나항공,
2022-03-31,icn_airline_cargo_tons_depBaggage,91.0,ODP_B551177,airline,7C,제주항공,
2022-03-31,icn_airline_cargo_tons_depBaggage,807.0,ODP_B551177,airline,AA,아메리칸항공,
2022-03-31,icn_airline_cargo_tons_depBaggage,67848.0,ODP_B551177,airline,KE,대한항공,
2022-03-31,icn_airline_cargo_tons_depBaggage,29156.0,ODP_B551177,airline,OZ,아시아나항공,
2022-03-31,icn_airline_pax_arrPassenger,3275.0,ODP_B551177,airline,7C,제주항공,
2022-03-31,icn_airline_pax_arrPassenger,3546.0,ODP_B551177,airline,AA,아메리칸항공,
2022-03-31,icn_airline_pax_arrPassenger,67583.0,ODP_B551177,airline,KE,대한항공,
2022-03-31,icn_airline_pax_arrPassenger,46723.0,ODP_B551177,airline,OZ,아시아나항공,
2022-03-31,icn_airline_pax_depPassenger,3608.0,ODP_B551177,airline,7C,제주항공,
2022-03-31,icn_airline_pax_depPassenger,2865.0,ODP_B551177,airline,AA,아메리칸항공,
2022-03-31,icn_airline_pax_depPassenger,67641.0,ODP_B551177,airline,KE,대한항공,
2022-03-31,icn_airline_pax_depPassenger,44416.0,ODP_B551177,airline,OZ,아시아나항공,
2022-03-31,icn_airline_pax_passenger,6883.0,ODP_B551177,airline,7C,제주항공,
2022-03-31,icn_airline_pax_passenger,6411.0,ODP_B551177,airline,AA,아메리칸항공,
2022-03-31,icn_airline_pax_passenger,135224.0,ODP_B551177,airline,KE,대한항공,
2022-03-31,icn_airline_pax_passenger,91139.0,ODP_B551177,airline,OZ,아시아나항공,
2022-04-30,icn_airline_cargo_tons_arrBaggage,45.0,ODP_B551177,airline,7C,제주항공,
2022-04-30,icn_airline_cargo_tons_arrBaggage,73.0,ODP_B551177,airline,AA,아메리칸항공,
2022-04-30,icn_airline_cargo_tons_arrBaggage,63728.0,ODP_B551177,airline,KE,대한항공,
2022-04-30,icn_airline_cargo_tons_arrBaggage,27364.0,ODP_B551177,airline,OZ,아시아나항공,
2022-04-30,icn_airline_cargo_tons_baggage,68.0,ODP_B551177,airline,7C,제주항공,
2022-04-30,icn_airline_cargo_tons_baggage,416.0,ODP_B551177,airline,AA,아메리칸항공,
2022-04-30,icn_airline_cargo_tons_baggage,126140.0,ODP_B551177,airline,KE,대한항공,
2022-04-30,icn_airline_cargo_tons_baggage,53577.0,ODP_B551177,airline,OZ,아시아나항공,
2022-04-30,icn_airline_cargo_tons_depBaggage,24.0,ODP_B551177,airline,7C,제주항공,
2022-04-30,icn_airline_cargo_tons_depBaggage,343.0,ODP_B551177,airline,AA,아메리칸항공,
2022-04-30,icn_airline_cargo_tons_depBaggage,62412.0,ODP_B551177,airline,KE,대한항공,
2022-04-30,icn_airline_cargo_tons_depBaggage,26213.0,ODP_B551177,airline,OZ,아시아나항공,
2022-04-30,icn_airline_pax_arrPassenger,3876.0,ODP_B551177,airline,7C,제주항공,
2022-04-30,icn_airline_pax_arrPassenger,5981.0,ODP_B551177,airline,AA,아메리칸항공,
2022-04-30,icn_airline_pax_arrPassenger,105428.0,ODP_B551177,airline,KE,대한항공,
2022-04-30,icn_airline_pax_arrPassenger,78774.0,ODP_B551177,airline,OZ,아시아나항공,
2022-04-30,icn_airline_pax_depPassenger,4119.0,ODP_B551177,airline,7C,제주항공,
2022-04-30,icn_airline_pax_depPassenger,5105.0,ODP_B551177,airline,AA,아메리칸항공,
2022-04-30,icn_airline_pax_depPassenger,101779.0,ODP_B551177,airline,KE,대한항공,
2022-04-30,icn_airline_pax_depPassenger,74458.0,ODP_B551177,airline,OZ,아시아나항공,
2022-04-30,icn_airline_pax_passenger,7995.0,ODP_B551177,airline,7C,제주항공,
2022-04-30,icn_airline_pax_passenger,11086.0,ODP_B551177,airline,AA,아메리칸항공,
2022-04-30,icn_airline_pax_passenger,207207.0,ODP_B551177,airline,KE,대한항공,
2022-04-30,icn_airline_pax_passenger,153232.0,ODP_B551177,airline,OZ,아시아나항공,
2022-05-31,icn_airline_cargo_tons_arrBaggage,98.0,ODP_B551177,airline,7C,제주항공,
2022-05-31,icn_airline_cargo_tons_arrBaggage,46.0,ODP_B551177,airline,AA,아메리칸항공,
2022-05-31,icn_airline_cargo_tons_arrBaggage,60664.0,ODP_B551177,airline,KE,대한항공,
2022-05-31,icn_airline_cargo_tons_arrBaggage,27167.0,ODP_B551177,airline,OZ,아시아나항공,
2022-05-31,icn_airline_cargo_tons_baggage,157.0,ODP_B551177,airline,7C,제주항공,
2022-05-31,icn_airline_cargo_tons_baggage,335.0,ODP_B551177,airline,AA,아메리칸항공,
2022-05-31,icn_airline_cargo_tons_baggage,120214.0,ODP_B551177,airline,KE,대한항공,
2022-05-31,icn_airline_cargo_tons_baggage,52536.0,ODP_B551177,airline,OZ,아시아나항공,
2022-05-31,icn_airline_cargo_tons_depBaggage,58.0,ODP_B551177,airline,7C,제주항공,
2022-05-31,icn_airline_cargo_tons_depBaggage,289.0,ODP_B551177,airline,AA,아메리칸항공,
2022-05-31,icn_airline_cargo_tons_depBaggage,59550.0,ODP_B551177,airline,KE,대한항공,
2022-05-31,icn_airline_cargo_tons_depBaggage,25369.0,ODP_B551177,airline,OZ,아시아나항공,
2022-05-31,icn_airline_pax_arrPassenger,9219.0,ODP_B551177,airline,7C,제주항공,
2022-05-31,icn_airline_pax_arrPassenger,6805.0,ODP_B551177,airline,AA,아메리칸항공,
2022-05-31,icn_airline_pax_arrPassenger,146151.0,ODP_B551177,airline,KE,대한항공,
2022-05-31,icn_airline_pax_arrPassenger,109812.0,ODP_B551177,airline,OZ,아시아나항공,
2022-05-31,icn_airline_pax_depPassenger,9719.0,ODP_B551177,airline,7C,제주항공,
2022-05-31,icn_airline_pax_depPassenger,6100.0,ODP_B551177,airline,AA,아메리칸항공,
2022-05-31,icn_airline_pax_depPassenger,137837.0,ODP_B551177,airline,KE,대한항공,
2022-05-31,icn_airline_pax_depPassenger,101983.0,ODP_B551177,airline,OZ,아시아나항공,
2022-05-31,icn_airline_pax_passenger,18938.0,ODP_B551177,airline,7C,제주항공,
2022-05-31,icn_airline_pax_passenger,12905.0,ODP_B551177,airline,AA,아메리칸항공,
2022-05-31,icn_airline_pax_passenger,283988.0,ODP_B551177,airline,KE,대한항공,
2022-05-31,icn_airline_pax_passenger,211795.0,ODP_B551177,airline,OZ,아시아나항공,
2022-06-30,icn_airline_cargo_tons_arrBaggage,179.0,ODP_B551177,airline,7C,제주항공,
2022-06-30,icn_airline_cargo_tons_arrBaggage,47.0,ODP_B551177,airline,AA,아메리칸항공,
2022-06-30,icn_airline_cargo_tons_arrBaggage,56808.0,ODP_B551177,airline,KE,대한항공,
2022-06-30,icn_airline_cargo_tons_arrBaggage,26467.0,ODP_B551177,airline,OZ,아시아나항공,
2022-06-30,icn_airline_cargo_tons_baggage,388.0,ODP_B551177,airline,7C,제주항공,
2022-06-30,icn_airline_cargo_tons_baggage,261.0,ODP_B551177,airline,AA,아메리칸항공,
2022-06-30,icn_airline_cargo_tons_baggage,114352.0,ODP_B551177,airline,KE,대한항공,
2022-06-30,icn_airline_cargo_tons_baggage,51318.0,ODP_B551177,airline,OZ,아시아나항공,
2022-06-30,icn_airline_cargo_tons_depBaggage,210.0,ODP_B551177,airline,7C,제주항공,
2022-06-30,icn_airline_cargo_tons_depBaggage,213.0,ODP_B551177,airline,AA,아메리칸항공,
2022-06-30,icn_airline_cargo_tons_depBaggage,57544.0,ODP_B551177,airline,KE,대한항공,
2022-06-30,icn_airline_cargo_tons_depBaggage,24852.0,ODP_B551177,airline,OZ,아시아나항공,
2022-06-30,icn_airline_pax_arrPassenger,14715.0,ODP_B551177,airline,7C,제주항공,
2022-06-30,icn_airline_pax_arrPassenger,6568.0,ODP_B551177,airline,AA,아메리칸항공,
2022-06-30,icn_airline_pax_arrPassenger,188723.0,ODP_B551177,airline,KE,대한항공,
2022-06-30,icn_airline_pax_arrPassenger,134231.0,ODP_B551177,airline,OZ,아시아나항공,
2022-06-30,icn_airline_pax_depPassenger,15460.0,ODP_B551177,airline,7C,제주항공,
2022-06-30,icn_airline_pax_depPassenger,6687.0,ODP_B551177,airline,AA,아메리칸항공,
2022-06-30,icn_airline_pax_depPassenger,170245.0,ODP_B551177,airline,KE,대한항공,
2022-06-30,icn_airline_pax_depPassenger,119035.0,ODP_B551177,airline,OZ,아시아나항공,
2022-06-30,icn_airline_pax_passenger,30175.0,ODP_B551177,airline,7C,제주항공,
2022-06-30,icn_airline_pax_passenger,13255.0,ODP_B551177,airline,AA,아메리칸항공,
2022-06-30,icn_airline_pax_passenger,358968.0,ODP_B551177,airline,KE,대한항공,
2022-06-30,icn_airline_pax_passenger,253266.0,ODP_B551177,airline,OZ,아시아나항공,
2022-07-31,icn_airline_cargo_tons_arrBaggage,456.0,ODP_B551177,airline,7C,제주항공,
2022-07-31,icn_airline_cargo_tons_arrBaggage,44.0,ODP_B551177,airline,AA,아메리칸항공,
2022-07-31,icn_airline_cargo_tons_arrBaggage,55708.0,ODP_B551177,airline,KE,대한항공,
2022-07-31,icn_airline_cargo_tons_arrBaggage,24262.0,ODP_B551177,airline,OZ,아시아나항공,
2022-07-31,icn_airline_cargo_tons_baggage,1071.0,ODP_B551177,airline,7C,제주항공,
2022-07-31,icn_airline_cargo_tons_baggage,310.0,ODP_B551177,airline,AA,아메리칸항공,
2022-07-31,icn_airline_cargo_tons_baggage,109956.0,ODP_B551177,airline,KE,대한항공,
2022-07-31,icn_airline_cargo_tons_baggage,46534.0,ODP_B551177,airline,OZ,아시아나항공,
2022-07-31,icn_airline_cargo_tons_depBaggage,615.0,ODP_B551177,airline,7C,제주항공,
2022-07-31,icn_airline_cargo_tons_depBaggage,266.0,ODP_B551177,airline,AA,아메리칸항공,
2022-07-31,icn_airline_cargo_tons_depBaggage,54248.0,ODP_B551177,airline,KE,대한항공,
2022-07-31,icn_airline_cargo_tons_depBaggage,22272.0,ODP_B551177,airline,OZ,아시아나항공,
2022-07-31,icn_airline_pax_arrPassenger,41751.0,ODP_B551177,airline,7C,제주항공,
2022-07-31,icn_airline_pax_arrPassenger,7723.0,ODP_B551177,airline,AA,아메리칸항공,
2022-07-31,icn_airline_pax_arrPassenger,235434.0,ODP_B551177,airline,KE,대한항공,
2022-07-31,icn_airline_pax_arrPassenger,155757.0,ODP_B551177,airline,OZ,아시아나항공,
2022-07-31,icn_airline_pax_depPassenger,47264.0,ODP_B551177,airline,7C,제주항공,
2022-07-31,icn_airline_pax_depPassenger,8271.0,ODP_B551177,airline,AA,아메리칸항공,
2022-07-31,icn_airline_pax_depPassenger,244977.0,ODP_B551177,airline,KE,대한항공,
2022-07-31,icn_airline_pax_depPassenger,153226.0,ODP_B551177,airline,OZ,아시아나항공,
2022-07-31,icn_airline_pax_passenger,89015.0,ODP_B551177,airline,7C,제주항공,
2022-07-31,icn_airline_pax_passenger,15994.0,ODP_B551177,airline,AA,아메리칸항공,
2022-07-31,icn_airline_pax_passenger,480411.0,ODP_B551177,airline,KE,대한항공,
2022-07-31,icn_airline_pax_passenger,308983.0,ODP_B551177,airline,OZ,아시아나항공,
