date,revenue,revenue_qoq,revenue_yoy,operating_income,opinc_qoq,opinc_yoy,operating_margin,roe,roic
2017-12-31,,,,,,,,,
2018-12-31,,,,,,,,,
2019-06-30,,,,,,,,,
2019-09-30,,,,-144140000.0,,,,7.389873136812517,
2019-12-31,,,,-144140000.0,0.0,,,16.06568713378079,-27.872314094333493
2020-03-31,229327000.0,,,-70185000.0,-0.51307756347995,,-30.604769608463023,17.917907150848688,-13.571655090264995
2020-06-30,251889000.0,0.09838353094053476,,-99145000.0,0.4126237800099737,,-39.36059137159622,27.785790422961387,-19.17164271460173
2020-09-30,289366000.0,0.14878378968513917,,-847777000.0,7.55088002420697,4.881622034133481,-292.9774057767671,361.3736410350838,-56.65295727598105
2020-12-31,289366000.0,0.0,,-847777000.0,0.0,4.881622034133481,-292.9774057767671,817.0267107917188,-76.29660023863862
2021-03-31,341234000.0,0.17924704353655918,0.48798004596057165,-114014000.0,-0.8655141623327833,0.6244781648500393,-33.41226255296952,2273.9775949752748,-9.244650720791505
2021-06-30,375642000.0,0.10083403177877948,0.49129973917082514,-146148000.0,0.28184258073569923,0.4740834131827123,-38.90619259827176,-587.4395385685001,-11.135276047803917
2021-09-30,392146000.0,0.043935449177674446,0.3551903126144744,-91941000.0,-0.3709048361934477,-0.8915504902822322,-23.44560444324308,-69.57579685062814,-5.051196789332938
2021-12-31,392146000.0,0.0,0.3551903126144744,-91941000.0,0.0,-0.8915504902822322,-23.44560444324308,-24.45618028204469,-4.686867965983109
2022-03-31,446357000.0,0.1382418793000566,0.3080671914287556,-39439000.0,-0.5710401235574989,-0.6540863402740014,-8.835752547848472,-21.30261930342924,-1.8536452618634076
2022-06-30,473010000.0,0.05971229307482573,0.2592042423371188,-41745000.0,0.058470042343872874,-0.7143648903850891,-8.825394811949007,-21.955879719868797,-1.94396247027826
2022-09-30,477880000.0,0.010295765417221547,0.218627755988841,-62191000.0,0.4897832075697688,-0.323577076603474,-13.013936553109568,-21.866492788808525,-2.7760455980141705
2022-12-31,477880000.0,0.0,0.218627755988841,-62191000.0,0.0,-0.323577076603474,-13.013936553109568,-21.763560990998187,-2.571745862332551
2023-03-31,525186000.0,0.09899137858876705,0.1766052733574246,4115000.0,-1.0661671302921645,-1.1043383452927304,0.7835319296401655,-16.125722440831534,0.1485035257277473
2023-06-30,533317000.0,0.015482133948734322,0.12749624743662924,10074000.0,1.4481166464155528,-1.2413223140495868,1.8889328485684875,-7.647421015938395,0.3523920311042205
2023-09-30,558159000.0,0.046580176517905914,0.16798987193437687,39983000.0,2.968929918602343,-1.6429065298837453,7.163371010769333,-0.2668636793188718,1.3211184488931982
2023-12-31,558159000.0,0.0,0.16798987193437687,39983000.0,0.0,-1.6429065298837453,7.163371010769333,6.222231933820315,1.2037779475081694
2024-03-31,634338000.0,0.1364826151687959,0.20783493847893886,80881000.0,1.0228847260085536,18.655164034021873,12.750457957744924,8.514193040117188,2.35404742787619
2024-06-30,678134000.0,0.06904205644309491,0.2715401909183468,105339000.0,0.30239487642338747,9.456521739130435,15.533655590193089,10.923954017685988,2.8644552093012843
2024-09-30,725516000.0,0.06987114641059144,0.2998375015004684,113140000.0,0.07405614254929316,1.8297026236150362,15.59441831744579,11.828216849861828,2.777117358108014
2024-12-31,725516000.0,0.0,0.2998375015004684,113140000.0,0.0,1.8297026236150362,15.59441831744579,12.42401669285737,2.518543464069743
2025-03-31,883855000.0,0.2182432916710313,0.39335023284116666,176048000.0,0.5560190913911967,1.1766298636268098,19.91819925213977,13.809775482744383,3.729749221894247
2025-06-30,1003697000.0,0.135590113763004,0.48008653157045655,269317000.0,0.5297930109970008,1.5566694196831183,26.832500246588364,16.590294530997525,5.345422310597857
2025-09-30,1181092000.0,0.17674158635524462,0.6279337740311723,393256000.0,0.46019746246987747,2.4758352483648576,33.29596678328191,20.920260447666976,7.087636169881674
