,date,ticker,accounting_item,value
4370,2000-09-30,AMAT,GPM,0.5094757447581064
4381,2000-12-31,AMAT,GPM,0.5167201282942082
4385,2001-03-31,AMAT,GPM,0.4835476846754517
4392,2001-06-30,AMAT,GPM,0.4477617724614873
4404,2001-09-30,AMAT,GPM,0.3996128561157713
4411,2001-12-31,AMAT,GPM,0.38820435268590964
4421,2002-03-31,AMAT,GPM,0.3852747736041421
4424,2002-06-30,AMAT,GPM,0.4001307424650143
4435,2002-09-30,AMAT,GPM,0.4152568847187264
4443,2002-12-31,AMAT,GPM,0.41663334942705876
4451,2003-03-31,AMAT,GPM,0.3703079749840876
4458,2003-06-30,AMAT,GPM,0.3366887137286992
4474,2003-09-30,AMAT,GPM,0.3168561348132764
4484,2003-12-31,AMAT,GPM,0.4048909171022393
4493,2004-03-31,AMAT,GPM,0.43471012852888685
4498,2004-06-30,AMAT,GPM,0.46511009090210864
4509,2004-09-30,AMAT,GPM,0.4736851519932455
4518,2004-12-31,AMAT,GPM,0.4662034040768681
4526,2005-03-31,AMAT,GPM,0.44380301655194726
4543,2005-06-30,AMAT,GPM,0.4397350295966718
4549,2005-09-30,AMAT,GPM,0.4394094628594959
4565,2005-12-31,AMAT,GPM,0.44241962144669755
4567,2006-03-31,AMAT,GPM,0.45095962945576856
4576,2006-06-30,AMAT,GPM,0.46475575325023155
4585,2006-09-30,AMAT,GPM,0.4809834543176317
4598,2006-12-31,AMAT,GPM,0.4710031755637648
4609,2007-03-31,AMAT,GPM,0.4665847263408287
4617,2007-06-30,AMAT,GPM,0.4493309313355163
4632,2007-09-30,AMAT,GPM,0.47496977724187267
4640,2007-12-31,AMAT,GPM,0.4549577447652008
4654,2008-03-31,AMAT,GPM,0.4479171906446162
4663,2008-06-30,AMAT,GPM,0.44968786017475365
4675,2008-09-30,AMAT,GPM,0.40164855143038947
4680,2008-12-31,AMAT,GPM,0.390817629204615
4694,2009-03-31,AMAT,GPM,0.293668197594713
4702,2009-06-30,AMAT,GPM,0.15245809875136876
4711,2009-09-30,AMAT,GPM,0.2865507082752659
4728,2009-12-31,AMAT,GPM,0.36611517078814515
4738,2010-03-31,AMAT,GPM,0.38465207999125967
4749,2010-06-30,AMAT,GPM,0.40377950286207165
4762,2010-09-30,AMAT,GPM,0.34162023044018763
4773,2010-12-31,AMAT,GPM,0.42155738826614836
4782,2011-03-31,AMAT,GPM,0.422933730454207
4794,2011-06-30,AMAT,GPM,0.41544374563242487
4797,2011-09-30,AMAT,GPM,0.4248295658414065
4813,2011-12-31,AMAT,GPM,0.3901879871618524
4824,2012-03-31,AMAT,GPM,0.3590680676107812
4835,2012-06-30,AMAT,GPM,0.39787485242030696
4847,2012-09-30,AMAT,GPM,0.3969270166453265
4858,2012-12-31,AMAT,GPM,0.3560145808019441
4875,2013-03-31,AMAT,GPM,0.36999364272091545
4882,2013-06-30,AMAT,GPM,0.4095286365940193
4889,2013-09-30,AMAT,GPM,0.40810126582278483
4903,2013-12-31,AMAT,GPM,0.3998993963782696
4916,2014-03-31,AMAT,GPM,0.40684931506849314
4926,2014-06-30,AMAT,GPM,0.425414364640884
4943,2014-09-30,AMAT,GPM,0.43796909492273733
4956,2014-12-31,AMAT,GPM,0.42358657243816256
4965,2015-03-31,AMAT,GPM,0.4065281899109792
4969,2015-06-30,AMAT,GPM,0.41605241605241605
4982,2015-09-30,AMAT,GPM,0.40883534136546185
4992,2015-12-31,AMAT,GPM,0.4049831081081081
5011,2016-03-31,AMAT,GPM,0.4058484714222419
5026,2016-06-30,AMAT,GPM,0.4097959183673469
5035,2016-09-30,AMAT,GPM,0.42254519673874513
5041,2016-12-31,AMAT,GPM,0.424325144070367
5056,2017-03-31,AMAT,GPM,0.4408175716900549
5065,2017-06-30,AMAT,GPM,0.4512126339537507
5082,2017-09-30,AMAT,GPM,0.45405982905982906
5091,2017-12-31,AMAT,GPM,0.4502393550012598
5106,2018-03-31,AMAT,GPM,0.45670789724072314
5113,2018-06-30,AMAT,GPM,0.4576308298664331
5136,2018-09-30,AMAT,GPM,0.4536705461056401
5147,2018-12-31,AMAT,GPM,0.4434479322371699
5156,2019-03-31,AMAT,GPM,0.44364508393285373
5162,2019-06-30,AMAT,GPM,0.43232551568239613
5183,2019-09-30,AMAT,GPM,0.43711398090960135
5195,2019-12-31,AMAT,GPM,0.4352690463505594
5197,2020-03-31,AMAT,GPM,0.44641999038923597
5217,2020-06-30,AMAT,GPM,0.44200151630022744
5230,2020-09-30,AMAT,GPM,0.4448236632536974
5239,2020-12-31,AMAT,GPM,0.4543515358361775
5251,2021-03-31,AMAT,GPM,0.4550561797752809
5257,2021-06-30,AMAT,GPM,0.47527767825152273
5274,2021-09-30,AMAT,GPM,0.4788573273079406
5284,2021-12-31,AMAT,GPM,0.48097337906255105
5300,2022-03-31,AMAT,GPM,0.4718545686493382
5307,2022-06-30,AMAT,GPM,0.46869495596477184
5313,2022-09-30,AMAT,GPM,0.4610429447852761
5339,2022-12-31,AMAT,GPM,0.4594754778485702
5346,2023-03-31,AMAT,GPM,0.4666864519958451
5349,2023-06-30,AMAT,GPM,0.4666666666666667
5363,2023-09-30,AMAT,GPM,0.4631906614785992
5377,2023-12-31,AMAT,GPM,0.47136694927859585
5398,2024-03-31,AMAT,GPM,0.47770985537498134
5401,2024-06-30,AMAT,GPM,0.4744207041829672
5413,2024-09-30,AMAT,GPM,0.4728533490705223
5434,2024-12-31,AMAT,GPM,0.47338537970191624
5438,2025-03-31,AMAT,GPM,0.487859335752163
5449,2025-06-30,AMAT,GPM,0.4908450704225352
4364,2000-06-30,ASML,GPM,0.434032122330465
4367,2000-09-30,ASML,GPM,1.0
4380,2000-12-31,ASML,GPM,1.0
4383,2001-03-31,ASML,GPM,1.0
4395,2001-06-30,ASML,GPM,0.35692819348756194
4405,2001-09-30,ASML,GPM,1.0
4412,2001-12-31,ASML,GPM,1.0
4415,2002-03-31,ASML,GPM,1.0
4428,2002-06-30,ASML,GPM,0.24589594901802292
4436,2002-09-30,ASML,GPM,1.0
4446,2002-12-31,ASML,GPM,1.0
4452,2003-03-31,ASML,GPM,0.1662467985328705
4464,2003-06-30,ASML,GPM,0.2201905515278786
4470,2003-09-30,ASML,GPM,0.25248344573012804
4482,2003-12-31,ASML,GPM,0.2855768674696623
4489,2004-03-31,ASML,GPM,0.3218831825660283
4502,2004-06-30,ASML,GPM,0.3562504162632467
4510,2004-09-30,ASML,GPM,0.3805125170916087
4520,2004-12-31,ASML,GPM,0.3921122672059442
4529,2005-03-31,ASML,GPM,0.40035369451613906
4536,2005-06-30,ASML,GPM,0.3913882636270333
4546,2005-09-30,ASML,GPM,0.36987996830683434
4557,2005-12-31,ASML,GPM,0.3726327681708802
4572,2006-03-31,ASML,GPM,0.3997857076120843
4580,2006-06-30,ASML,GPM,0.4044822333636694
4584,2006-09-30,ASML,GPM,0.40786732995604436
4597,2006-12-31,ASML,GPM,0.4108037263252943
4611,2007-03-31,ASML,GPM,0.40885367765283626
4618,2007-06-30,ASML,GPM,0.4111558437735292
4633,2007-09-30,ASML,GPM,0.4116538283392651
4643,2007-12-31,ASML,GPM,0.4071863724089163
4656,2008-03-31,ASML,GPM,0.40646395212788095
4665,2008-06-30,ASML,GPM,0.39976926000859725
4668,2008-09-30,ASML,GPM,0.3810959857382922
4678,2008-12-31,ASML,GPM,0.08440243192293216
4696,2009-03-31,ASML,GPM,0.06732198774676651
4708,2009-06-30,ASML,GPM,0.12450469992769342
4716,2009-09-30,ASML,GPM,0.3444420031984325
4729,2009-12-31,ASML,GPM,0.3795141293151855
4737,2010-03-31,ASML,GPM,0.40253437584254514
4743,2010-06-30,ASML,GPM,0.42986806400299427
4758,2010-09-30,ASML,GPM,0.43579931972789115
4770,2010-12-31,ASML,GPM,0.4500150515499153
4778,2011-03-31,ASML,GPM,0.44732130560528854
4795,2011-06-30,ASML,GPM,0.45115731659474306
4805,2011-09-30,ASML,GPM,0.42056907781967773
4819,2011-12-31,ASML,GPM,0.40994301759022217
4827,2012-03-31,ASML,GPM,0.41824426871155845
4841,2012-06-30,ASML,GPM,0.4320273682495724
4843,2012-09-30,ASML,GPM,0.43212890625
4857,2012-12-31,ASML,GPM,0.4107125403186394
4865,2013-03-31,ASML,GPM,0.3819078578634682
4881,2013-06-30,ASML,GPM,0.4063369006488582
4891,2013-09-30,ASML,GPM,0.40267030799575176
4906,2013-12-31,ASML,GPM,0.43591408321159986
4915,2014-03-31,ASML,GPM,0.4364482635159327
4932,2014-06-30,ASML,GPM,0.45747140423460697
4939,2014-09-30,ASML,GPM,0.43722583572833157
4955,2014-12-31,ASML,GPM,0.4396814676531165
4962,2015-03-31,ASML,GPM,0.47190738832656526
4979,2015-06-30,ASML,GPM,0.45571609938939606
4989,2015-09-30,ASML,GPM,0.45410534469403563
4997,2015-12-31,ASML,GPM,0.4600474131920234
5008,2016-03-31,ASML,GPM,0.42611761176117613
5023,2016-06-30,ASML,GPM,0.4261899287192458
5033,2016-09-30,ASML,GPM,0.4598258569381682
5046,2016-12-31,ASML,GPM,0.47216105693614346
5060,2017-03-31,ASML,GPM,0.47571516772998557
5064,2017-06-30,ASML,GPM,0.4504140097078138
5076,2017-09-30,ASML,GPM,0.4288224237966822
5092,2017-12-31,ASML,GPM,0.4515310107795657
5108,2018-03-31,ASML,GPM,0.48730853391684903
5121,2018-06-30,ASML,GPM,0.43311195445920303
5125,2018-09-30,ASML,GPM,0.48121465365080507
5140,2018-12-31,ASML,GPM,0.44324582338902146
5149,2019-03-31,ASML,GPM,0.4163115158584182
5170,2019-06-30,ASML,GPM,0.4303905915339382
5176,2019-09-30,ASML,GPM,0.4374351247279424
5188,2019-12-31,ASML,GPM,0.4806510752155386
5202,2020-03-31,ASML,GPM,0.4512824715233959
5214,2020-06-30,ASML,GPM,0.4820639263914364
5228,2020-09-30,ASML,GPM,0.4753410813542193
5236,2020-12-31,ASML,GPM,0.5197574104981078
5245,2021-03-31,ASML,GPM,0.5390590985127982
5261,2021-06-30,ASML,GPM,0.5085816626038505
5269,2021-09-30,ASML,GPM,0.5173144067311545
5288,2021-12-31,ASML,GPM,0.5416800385109114
5298,2022-03-31,ASML,GPM,0.4897578089633318
5304,2022-06-30,ASML,GPM,0.4906546358530522
5326,2022-12-31,ASML,GPM,0.5148984479487418
5332,2022-12-31,ASML,GPM,0.5180935569285083
5357,2023-06-30,ASML,GPM,0.5134520377265549
5360,2023-06-30,ASML,GPM,0.5059440870415938
5372,2023-09-30,ASML,GPM,0.5187471901693391
5380,2023-12-31,ASML,GPM,0.5136520657731104
5393,2024-03-31,ASML,GPM,0.5097542533081285
5408,2024-06-30,ASML,GPM,0.5145447555584033
5422,2024-09-30,ASML,GPM,0.5080015534396636
5429,2024-12-31,ASML,GPM,0.5171006607073455
5443,2025-03-31,ASML,GPM,0.5399082865077828
