SARIMA,ETS,Theta,Ensemble,ticker,date
126682624792.94086,137615810922.71475,124744563707.52316,129680999807.72626,000020,2025-12-31
140098634894.08286,134963752201.88295,131324696699.32994,135462361265.09859,000020,2026-03-31
138026156197.16962,131409312893.05188,129327590501.36575,132921019863.86243,000020,2026-06-30
134393027493.18391,136548523068.18274,122388686539.77486,131110079033.71382,000020,2026-09-30
139216223830.33466,147431053800.5618,126359925913.87453,137669067848.257,000020,2026-12-31
152625116916.28897,144778995079.73,133019779853.32236,143474630616.4471,000020,2027-03-31
150552638219.37576,141224555770.89893,130991526516.60289,140922906835.62585,000020,2027-06-30
146919509515.39005,146363765946.0298,123958297552.63449,139080524338.0181,000020,2027-09-30
151742705852.5408,157246296678.40884,127975288120.22588,145654763550.39185,000020,2027-12-31
-10695192202.489626,-6172096833.577795,-3967786743.1677613,-6945025259.745061,000040,2025-12-31
-3790380595.1227446,-2338415686.683595,-1083186644.1736991,-2403994308.6600127,000040,2026-03-31
1161181170.1271853,4829497170.794843,5627836289.635839,3872838210.1859555,000040,2026-06-30
1317712054.8977537,2088317152.4493604,3267557626.457283,2224528944.6014657,000040,2026-09-30
-13801561491.054274,-7652213870.525492,-4362729607.001036,-8605501656.193602,000040,2026-12-31
-6966405663.987577,-3818532723.631292,-1478129508.0069733,-4087689298.541948,000040,2027-03-31
-2014843898.737648,3349380133.847146,5232893425.802565,2189143220.304021,000040,2027-06-30
-1858313013.9670792,608200115.5016637,2872614762.6240087,540833954.719531,000040,2027-09-30
-16977586559.919106,-9132330907.473188,-4757672470.834311,-10289196646.075537,000040,2027-12-31
108537332009.2622,103513828122.43268,100842945933.41722,104298035355.03737,000050,2025-12-31
101286818470.64993,102708457314.76526,101648565345.57071,101881280376.9953,000050,2026-03-31
99348875838.12943,103634116096.03638,103014624412.4117,101999205448.85918,000050,2026-06-30
99694574255.0258,99042464111.27365,99304617812.09198,99347218726.13048,000050,2026-09-30
109797288635.35464,105415217667.65593,102564423036.88834,105925643113.29964,000050,2026-12-31
102605002474.9999,104609846859.98851,103370042449.04184,103528297261.34343,000050,2027-03-31
101907836603.63382,105535505641.25964,104736101515.88283,104059814586.92543,000050,2027-06-30
101879239279.95485,100943853656.4969,101026094915.5631,101283062617.33827,000050,2027-09-30
111677526446.66888,107316607212.87918,104285900140.35945,107760011266.63585,000050,2027-12-31
864873312268.7826,897244947160.3086,853544837467.8975,871887698965.663,000070,2025-12-31
897073892588.0966,896959928333.6338,877027795346.7731,890353872089.5011,000070,2026-03-31
927796150399.9484,938472098926.0038,911919588844.0269,926062612723.3263,000070,2026-06-30
929137269627.5057,931186083857.2128,912488638729.2151,924270664071.3112,000070,2026-09-30
901161364794.3291,932203623770.172,869808659637.3528,901057882733.9512,000070,2026-12-31
943938772886.5404,931918604943.4972,893291617516.2285,923049665115.422,000070,2027-03-31
988520550095.6913,973430775535.8672,928183411013.4822,963378245548.347,000070,2027-06-30
996074659087.9965,966144760467.0762,928752460898.6704,963657293484.581,000070,2027-09-30
963519165302.044,967162300380.0355,886072481806.8081,938917982496.2959,000070,2027-12-31
623772315700.7213,628300560896.024,651616199254.8788,634563025283.8746,000080,2025-12-31
618260726994.7386,624081346522.1736,610700678626.2197,617680917381.044,000080,2026-03-31
661395338761.5612,668094856987.9154,675999179314.123,668496458354.5332,000080,2026-06-30
679199473728.7823,685632258930.744,680280685453.2118,681704139370.9127,000080,2026-09-30
633974406331.0826,645666321558.5707,664533815347.2415,648058181078.965,000080,2026-12-31
628468445299.231,641447107184.7203,622747483055.1564,630887678513.0358,000080,2027-03-31
671603057066.0532,685460617650.462,689268636108.9425,682110770275.1525,000080,2027-06-30
689407192033.2744,702998019593.2908,693568975353.0752,695324728993.2135,000080,2027-09-30
644182124635.5746,663032082221.1174,677451431439.6039,661555212765.432,000080,2027-12-31
534134059734.81757,513684707423.13745,542500759727.3318,530106508961.76227,000100,2025-12-31
525369410995.5816,511152207400.16895,538694217610.65076,525071945335.4671,000100,2026-03-31
596680085097.9622,593276497109.9879,571721065422.9458,587225882543.632,000100,2026-06-30
596200944500.9946,618843093372.2007,573390481837.3539,596144839903.5165,000100,2026-09-30
566546344734.8525,536244529778.4647,553778570678.8693,552189815064.0621,000100,2026-12-31
555566687090.0039,533712029755.49615,549972028562.1882,546416915135.89606,000100,2027-03-31
620340825091.9675,615836319465.3152,582998876374.4833,606392006977.2554,000100,2027-06-30
623307691441.1367,641402915727.5278,584668292788.8915,616459633319.1854,000100,2027-09-30
596178445787.2048,558804352133.7919,565056381630.4069,573346393183.8011,000100,2027-12-31
3190743512182.8975,3187567047466.6313,3032382623613.422,3136897727754.317,000120,2025-12-31
3031594956783.186,3003122287793.804,3020118883507.607,3018278709361.5327,000120,2026-03-31
3155724749118.1016,3130085855404.2324,3187725150574.927,3157845251699.0874,000120,2026-06-30
3159897229949.1294,3154965167670.5166,3145867894237.618,3153576763952.422,000120,2026-09-30
3276648930030.729,3270253230846.637,3113307346221.737,3220069835699.701,000120,2026-12-31
3117866337529.8164,3085808471173.81,3100182166504.7803,3101285658402.8022,000120,2027-03-31
3241996129864.7324,3212772038784.2383,3271675292813.795,3242147820487.5884,000120,2027-06-30
3246168610695.7603,3237651351050.5225,3228173816586.8325,3237331259444.3716,000120,2027-09-30
3362920310777.3594,3352939414226.643,3194232068830.0513,3303363931278.0176,000120,2027-12-31
618778128777.6925,596329357605.3339,598421443201.3939,604509643194.8068,000140,2025-12-31
621599138290.3741,605312457671.4883,616440975039.6259,614450857000.4961,000140,2026-03-31
669109283376.9929,678910729316.1942,676232293612.5511,674750768768.5795,000140,2026-06-30
682283504542.0498,664174297930.262,674418072477.4468,673625291649.9196,000140,2026-09-30
637257636764.7103,600045808375.2327,610227754207.0835,615843733115.6754,000140,2026-12-31
644348358417.5453,609028908441.3871,628247286045.3154,627208184301.4159,000140,2027-03-31
695170637598.6276,682627180086.093,688038604618.2407,688612140767.6538,000140,2027-06-30
706071621789.4751,667890748700.1609,686224383483.1365,686728917990.9242,000140,2027-09-30
661522301765.6571,603762259145.1316,622034065212.7731,629106208707.8539,000140,2027-12-31
4777936379624.111,4703187337143.596,4459679797155.02,4646934504640.909,000150,2025-12-31
4841369814710.027,4603832023414.589,4611164627429.045,4685455488517.888,000150,2026-03-31
4945630676797.468,4723223619239.478,5003472129063.834,4890775475033.593,000150,2026-06-30
4845744871582.046,4592867983514.548,4673810220994.131,4704141025363.575,000150,2026-09-30
4933728372082.667,4698936100175.191,4569968922754.712,4734211131670.856,000150,2026-12-31
5112874234078.05,4599580786446.184,4724499315530.444,4812318112018.227,000150,2027-03-31
5217135096165.49,4718972382271.072,5125698050180.818,5020601842872.46,000150,2027-06-30
5117249290950.068,4588616746546.143,4787290060645.169,4831052032713.793,000150,2027-09-30
5205232791450.69,4694684863206.786,4680258048354.405,4860058567670.628,000150,2027-12-31
32178622058.89498,32003855830.184013,33202439845.691727,32461639244.923573,000180,2025-12-31
30001747836.66615,30204289156.624676,31176194836.83069,30460743943.37384,000180,2026-03-31
31346214196.758213,30184277286.54978,32731955296.121433,31420815593.143143,000180,2026-06-30
27974411513.485497,29265474847.400887,31703687810.0967,29647858056.994358,000180,2026-09-30
28875075902.435078,29873576617.62507,33526547699.104706,30758400073.05495,000180,2026-12-31
26745918700.007664,28074009944.06573,31500302690.243668,28773410444.772354,000180,2027-03-31
28090385060.099728,28053998073.990837,33056063149.534412,29733482094.541656,000180,2027-06-30
24718582376.82701,27135195634.84194,32027795663.509678,27960524558.39288,000180,2027-09-30
25619246765.776592,27743297405.066124,33850655552.517685,29071066574.453465,000180,2027-12-31
