ticker,reported_currency,is_foreign
SCI,USD,False
SCL,USD,False
SCS,USD,False
SCSC,USD,False
SCVL,USD,False
SCZM,USD,False
SEAS,USD,False
SEB,USD,False
SEDG,USD,False
SEE,USD,False
SEM,USD,False
SFL,USD,False
SFM,USD,False
SGEN,USD,False
SGMS,USD,False
SGOC,USD,False
SGRY,USD,False
SGU,USD,False
SHAK,USD,False
SHEL,USD,False
SHEN,USD,False
SHLM,USD,False
SHO,USD,False
SHOO,USD,False
SHOP,USD,False
SHW,USD,False
SHYF,USD,False
SID,BRL,True
SIFY,INR,True
SIG,USD,False
SIGA,USD,False
SIM,MXN,True
SIMO,USD,False
SIRI,USD,False
SIX,USD,False
SJM,USD,False
SJR,CAD,True
SKE,CAD,True
SKM,KRW,True
SKT,USD,False
SKX,USD,False
SKY,USD,False
SKYW,USD,False
SLAB,USD,False
SLB,USD,False
SLCA,USD,False
SLG,USD,False
SLGN,USD,False
SLNO,USD,False
SLP,USD,False
SLS,USD,False
SM,USD,False
SMC,USD,False
SMCI,USD,False
SMG,USD,False
SMLP,USD,False
SMMT,USD,False
SMP,USD,False
SMTC,USD,False
SNDA,USD,False
SNDK,USD,False
SNMP,USD,False
SNN,USD,False
SNPS,USD,False
SNX,USD,False
SNY,EUR,True
SOHU,USD,False
SOL,USD,False
SON,USD,False
SONY,JPY,True
SP,USD,False
SPB,USD,False
SPG,USD,False
SPLK,USD,False
SPNS,USD,False
SPR,USD,False
SPSC,USD,False
SPTN,USD,False
SPXC,USD,False
SQ,USD,False
SQM,USD,False
SRC,USD,False
SRCL,USD,False
SRDX,USD,False
SRPT,USD,False
SSD,USD,False
SSL,ZAR,True
SSNC,USD,False
SSP,USD,False
SSRM,USD,False
SSTK,USD,False
SSYS,USD,False
ST,USD,False
STAA,USD,False
STAG,USD,False
STAR,USD,False
STE,USD,False
STGW,USD,False
STKL,USD,False
STLA,EUR,True
STLD,USD,False
STM,USD,False
STN,CAD,True
STNG,USD,False
STRA,USD,False
STRK,USD,False
STRL,USD,False
STRT,USD,False
STWD,USD,False
STX,USD,False
STZ,USD,False
SU,CAD,True
SUI,USD,False
SUM,USD,False
SUN,USD,False
SUPN,USD,False
SUZ,BRL,True
SVA,USD,False
SVC,USD,False
SWBI,USD,False
SWH,USD,False
SWIR,UNKNOWN,False
SWK,USD,False
SWKS,USD,False
SWM,USD,False
SWN,USD,False
SXC,USD,False
SXI,USD,False
SXT,USD,False
SYK,USD,False
SYNA,USD,False
SYNH,USD,False
SYX,USD,False
SYY,USD,False
T,USD,False
TA,USD,False
TAK,JPY,True
TAL,USD,False
TAP,USD,False
TARO,USD,False
TAST,USD,False
TATT,USD,False
TBN,USD,False
TBPH,USD,False
TCI,USD,False
TCOM,CNY,True
TCRZ,UNKNOWN,False
