index,revenue_billions_sarima_noexog_ttm,revenue_billions_lstm_forecast_ttm,revenue_billions_prophet_forecast_ttm,revenue_billions_esq_forecast_ttm,ticker,PSR_ttm_sarima_forecast,PSR_ttm_lstm_forecast,PSR_prophet_forecast_noexog,PSR_es_forecast,sarima_valuation,lstm_valuation,prophet_valuation,es_valuation,measurement_date
2025-06-30,7.94,7.94,7.94,7.94,ANET,16.352417302798983,16.352417302798983,16.352417302798983,16.352417302798983,129.83819338422393,129.83819338422393,129.83819338422393,129.83819338422393,2025-10-07
2025-07-31,7.94,7.94,7.94,7.94,ANET,19.52080706179067,19.52080706179067,19.52080706179067,19.52080706179067,154.99520807061793,154.99520807061793,154.99520807061793,154.99520807061793,2025-10-07
2025-08-31,7.94,7.94,7.94,7.94,ANET,20.920731707317078,20.920731707317078,20.920731707317078,20.920731707317078,166.1106097560976,166.1106097560976,166.1106097560976,166.1106097560976,2025-10-07
2025-09-30,8.466144565384727,8.096309666633607,7.74087808023452,8.464799110127283,ANET,20.85848261912918,18.255313873291016,16.305719777814026,22.669875495927535,176.5909292681123,147.80067417975664,126.22058881052708,191.89594192462368,2025-10-07
2025-10-31,8.466144565384727,8.096309666633607,7.74087808023452,8.464799110127283,ANET,20.796479483233995,18.450952529907227,15.544773983457755,24.419019262865127,176.06600175611646,149.3846253264857,120.33020019074797,206.7020925264817,2025-10-07
2025-11-30,8.466144565384727,8.096309666633607,7.74087808023452,8.464799110127283,ANET,20.734721147585716,18.637964248657227,15.873558057788,26.168163029802717,175.54314675840058,150.89873011277507,122.87527762486116,221.5082431283397,2025-10-07
2025-12-31,9.016858851919539,8.319727492332458,7.485741963661449,9.004397332011123,ANET,20.67320646628928,18.836687088012695,16.09004167956775,27.917306796740306,186.40738472312074,156.71610343060306,120.44590019780206,251.37852283750442,2025-10-07
2026-01-31,9.016858851919539,8.319727492332458,7.485741963661449,9.004397332011123,ANET,20.611934299563778,19.025590896606445,16.164085633137624,29.6664505636779,185.85490224420562,158.2877316403668,121.00017412819545,267.1285083058212,2025-10-07
2026-02-28,9.016858851919539,8.319727492332458,7.485741963661449,9.004397332011123,ANET,20.550903513706174,19.174222946166992,15.55138793848327,31.415594330615487,185.30459626250587,159.5243097893374,116.41367728428273,282.8784937741379,2025-10-07
2026-03-31,9.651089396810699,8.63502914905548,7.177956047379327,9.608794665651528,ANET,20.49011298105523,19.3040828704834,15.729354333885285,33.16473809755308,197.7519121309154,166.69131828240674,112.90461406228411,318.67315851949803,2025-10-07
2026-04-30,9.651089396810699,8.63502914905548,7.177956047379327,9.608794665651528,ANET,20.42956157995568,19.504638671875,15.147119375845556,34.91388186449067,197.1675251458015,168.4231234734354,108.72535712422719,335.48032181670555,2025-10-07
2026-05-31,9.651089396810699,8.63502914905548,7.177956047379327,9.608794665651528,ANET,20.36924819472262,19.73335838317871,15.290266170600407,36.66302563142826,196.58543527309294,170.3981248475065,109.75285852530074,352.28748511391314,2025-10-07
2026-06-30,10.248336383818847,8.89351499080658,6.823640593315815,10.147991111048494,ANET,20.30917171560612,19.926504135131836,16.22951392322258,38.41216939836585,208.13522341827084,177.21666324016428,110.74437001628581,389.8063536107056,2025-10-07
2026-07-31,10.248336383818847,8.89351499080658,6.823640593315815,10.147991111048494,ANET,20.249331038756115,20.09000587463379,17.43119940487939,40.16131316530344,207.52195603247657,178.67076841144785,118.94423984931748,407.55664900953417,2025-10-07
2026-08-31,10.248336383818847,8.89351499080658,6.823640593315815,10.147991111048494,ANET,20.189725066187467,20.180036544799805,20.947670104459878,41.91045693224103,206.9110939751084,179.47145752620168,142.93937206018057,425.30694440836277,2025-10-07
2024-08-31,25.11,25.11,25.11,25.11,MU,5.598563911978055,4.0614495277404785,7.22082120095276,6.66922918385171,140.57993982976896,101.98299764156341,181.3148203559238,167.46434480651644,2025-10-07
2024-09-30,25.11,25.11,25.11,25.11,MU,5.5835252407886715,4.155104637145996,9.575534515532505,6.774192647906657,140.20231879620354,104.33467743873597,240.4416716850212,170.09997738893617,2025-10-07
2024-10-31,25.11,25.11,25.11,25.11,MU,5.576691460091116,4.2400407791137695,6.452149129841029,6.879156111961604,140.03072256288792,106.46742396354675,162.01346465030824,172.73560997135587,2025-10-07
2024-11-30,29.090000000000003,29.090000000000003,29.090000000000003,29.090000000000003,MU,5.573582782434958,4.332670211791992,3.557435121356314,6.98411957601655,162.13552314103293,126.03737646102907,103.48578768025519,203.16803846632146,2025-10-07
2024-12-31,29.090000000000003,29.090000000000003,29.090000000000003,29.090000000000003,MU,5.572167962509661,4.427196502685547,1.5327697551994726,7.089083040071496,162.09436602940605,128.78714626312257,44.58827217875266,206.22142563567985,2025-10-07
2025-01-31,29.090000000000003,29.090000000000003,29.090000000000003,29.090000000000003,MU,5.571523907997568,4.506711959838867,0.4684230744741648,7.194046504126442,162.07563048364926,131.10025091171266,13.626427236453456,209.27481280503824,2025-10-07
2025-02-28,31.320000000000004,31.320000000000004,31.320000000000004,31.320000000000004,MU,5.571230691914587,4.559450626373291,4.571085209428527,7.299009968181388,174.49094527076488,142.8019936180115,143.1663887593015,228.6049922034411,2025-10-07
2025-03-31,31.320000000000004,31.320000000000004,31.320000000000004,31.320000000000004,MU,5.5710971945028875,4.598341941833496,5.452777597335107,7.403973432236334,174.48676413183045,144.0200696182251,170.78099434853556,231.89244789764203,2025-10-07
2025-04-30,31.320000000000004,31.320000000000004,31.320000000000004,31.320000000000004,MU,5.571036413625856,4.616209506988525,4.831696070517669,7.508936896291281,174.48486047476183,144.57968175888064,151.32872092861342,235.17990359184293,2025-10-07
2025-05-31,33.81,33.81,33.81,33.81,MU,,,,,,,,,2025-10-07
2025-08-31,37.370000000000005,37.370000000000005,37.370000000000005,37.370000000000005,MU,,,,,,,,,2025-10-07
2025-11-30,41.20070242000396,33.06269994735718,37.756040989110005,40.27565921398954,MU,,,,,,,,,2025-10-07
2026-02-28,45.48426169320405,29.535275802612304,38.489514174769,44.14697766736828,MU,,,,,,,,,2025-10-07
2026-05-31,48.95037030835895,24.61380487442017,38.52756964389657,47.07395536013621,MU,,,,,,,,,2025-10-07
2026-08-31,50.71002798202536,17.283530950546265,35.884455926914725,48.296592292293326,MU,,,,,,,,,2025-10-07
2024-04-30,22.8,22.8,22.8,22.8,AMD,8.396431773589345,46.047462463378906,6.536805551867718,9.458267077677299,191.43864443783707,1049.882144165039,149.039166582584,215.64848937104242,2025-10-07
2024-05-31,22.8,22.8,22.8,22.8,AMD,8.34163303600677,51.504573822021484,1.9650284390920554,9.617265625740849,190.18923322095438,1174.3042831420898,44.80264841129886,219.27365626689138,2025-10-07
2024-06-30,23.269999999999996,23.269999999999996,23.269999999999996,23.27,AMD,8.28780680261187,55.87315368652344,5.691264150954048,9.776264173804401,192.8572642967782,1300.1682862854002,132.43571679270067,227.49366732442843,2025-10-07
2024-07-31,23.269999999999996,23.269999999999996,23.269999999999996,23.27,AMD,8.234932460864968,59.174522399902344,9.745426625186104,9.935262721867954,191.62687836432778,1376.9911362457274,226.7760775680806,231.19356353786728,2025-10-07
2024-08-31,23.269999999999996,23.269999999999996,23.269999999999996,23.27,AMD,8.182989456950905,60.732608795166016,15.799526595922508,10.094261269931504,190.41816466324752,1413.2478066635128,367.6549838871167,234.8934597513061,2025-10-07
2024-09-30,24.29,24.29,24.29,24.29,AMD,8.131957712056085,62.04304885864258,12.422429339250387,10.253259817995056,197.5252528258423,1507.0256567764281,301.7408086503919,249.0516809790999,2025-10-07
2024-10-31,24.29,24.29,24.29,24.29,AMD,8.081817662668909,63.4947509765625,11.43682374695647,10.412258366058607,196.3073510262278,1542.287501220703,277.80044881357264,252.91375571156357,2025-10-07
2024-11-30,24.29,24.29,24.29,24.29,AMD,8.032550252060318,64.60216522216797,8.234333505513716,10.57125691412216,195.11064562254512,1569.18659324646,200.01196084892814,256.77583044402724,2025-10-07
2024-12-31,25.78,25.78,25.78,25.779999999999998,AMD,,,,,,,,,2025-10-07
2025-03-31,27.75,27.75,27.75,27.75,AMD,,,,,,,,,2025-10-07
2025-06-30,29.6,29.6,29.6,29.6,AMD,,,,,,,,,2025-10-07
2025-09-30,30.933679140063138,29.923684387207032,28.61319449115923,30.686301694230487,AMD,,,,,,,,,2025-10-07
