연령대,ageCd,natCd,국가,관광객수,입국항,portCd,rnum,성별,sexCd,여행목적,traPurpCd,년월
21 - 30,30,112,중  국,3,대구공항,TG,450,남성,M,기타,99,202401
31 - 40,40,112,중  국,11,대구공항,TG,451,남성,M,기타,99,202401
41 - 50,50,112,중  국,6,대구공항,TG,452,남성,M,기타,99,202401
51 - 60,60,112,중  국,3,대구공항,TG,453,남성,M,기타,99,202401
61 - 70,70,112,중  국,4,대구공항,TG,454,남성,M,기타,99,202401
31 - 40,40,112,중  국,0,동해항,TH,455,남성,M,상용,03,202401
21 - 30,30,112,중  국,0,울산항,US,456,남성,M,관광,02,202401
31 - 40,40,112,중  국,0,울산항,US,457,남성,M,관광,02,202401
21 - 30,30,112,중  국,0,여수항,YS,458,남성,M,관광,02,202401
41 - 50,50,112,중  국,0,여수항,YS,459,남성,M,관광,02,202401
