forecast_month,hs_code,item_name,forecast_amount_usd,forecast_unit_price_usd_per_kg,models_used_amount,models_used_price,based_on_flash_date
2026-08,854232,메모리,7770121298.378558,102518.1029389841,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2026-09,854232,메모리,11257712445.983915,100621.09402538133,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2026-10,854232,메모리,8301832836.111682,100243.91444209752,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2026-11,854232,메모리,10254346557.092188,100487.8851218286,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2026-12,854232,메모리,8863286976.191553,99436.15484026475,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-01,854232,메모리,10444850734.041193,102366.21010129676,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-02,854232,메모리,9464688620.571062,100175.848474062,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-03,854232,메모리,10089407873.312757,99761.99412661936,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-04,854232,메모리,9571753863.587748,100079.97319579998,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-05,854232,메모리,9774007273.808714,98970.76507640141,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-06,854232,메모리,9288669166.79943,99026.42365810704,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
2027-07,854232,메모리,11568299624.977531,99605.46955784135,"SARIMA,Theta,ETS","SARIMA,Theta,ETS",2026-07-20
