,hs_code
558,3903
559,3904
560,3906
561,3907
562,3908
563,3909
564,3911
565,3912
566,3917
567,3918
568,3919
569,3920
570,3921
571,3923
572,3926
573,4002
574,4011
575,4016
576,4202
577,4810
578,4811
579,4901
580,5402
581,5407
582,5503
583,5603
584,5903
585,6004
586,6005
587,6006
588,6109
589,6217
590,6309
591,7004
592,7006
593,7106
594,7108
595,7110
596,7113
597,7114
598,7202
599,7208
600,7209
601,7210
602,7216
603,7219
604,7225
605,7228
606,7305
607,7306
608,7307
609,7308
610,7312
611,7318
612,7326
613,7403
614,7404
615,7407
616,7408
617,7409
618,7410
619,7411
620,7601
621,7606
622,7607
623,7616
624,7801
625,7901
626,8207
627,8209
628,8302
629,8402
630,8407
631,8408
632,8409
633,8411
634,8412
635,8413
636,8414
637,8415
638,8418
639,8419
640,8421
641,8422
642,8424
643,8427
644,8428
645,8429
646,8431
647,8443
648,8450
649,8451
650,8457
651,8458
652,8462
653,8466
654,8471
655,8473
656,8477
657,8479
658,8480
659,8481
660,8482
661,8483
662,8486
663,8501
664,8502
665,8503
666,8504
667,8507
668,8511
669,8512
670,8514
671,8515
672,8516
673,8517
674,8523
675,8525
676,8526
677,8528
678,8529
679,8532
680,8534
681,8535
682,8536
683,8537
684,8538
685,8541
686,8542
687,8543
688,8544
689,8701
690,8702
691,8703
692,8704
693,8708
694,8802
695,8901
696,9001
697,9002
698,9013
699,9018
700,9021
701,9022
702,9027
703,9030
704,9031
705,9032
706,9301
707,9306
708,9401
709,121221
710,271012
711,293190
712,382600
713,731940
714,850760
715,852349
716,220299
717,300212
718,300214
719,300215
720,370500
721,381239
722,382499
723,390140
724,390761
725,390769
726,390931
727,600537
728,845611
729,852852
730,870191
731,870192
732,870193
733,870340
734,870360
735,870380
736,2404
737,300249
738,382219
739,390729
740,620240
741,681511
742,741980
743,846242
744,846262
745,846290
746,851419
747,851713
748,851779
749,8524
750,852411
751,852412
752,852492
753,852589
754,854141
755,854142
756,854143
757,854149
758,854159
759,8807
760,880730
761,902789
762,940199
763,970191
